startup_id,company_name,sector,founding_year,funding_rounds,total_funding_usd,employee_count,founder_experience,is_unicorn,ipo_status,market_volatility,investor_count,japanese_investor,success_score,last_valuation_usd,revenue_usd,ipo_valuation_usd,ipo_return_6m,esg_score,customer_growth_rate,burn_rate
STUP_0016,BlueWorks,sustainability,2020,1,1.53,49,15.10394354,0,0,23.25,3,0,42.42,122.94,28.9,,,24.24,148.51,7.92
STUP_0017,QuantumSolutions Innovations,sustainability,2014,2,1.23,14,11.84853556,1,0,113.93,3,0,41.54,7118.74,36.14,,,,176,3.7
STUP_0018,SmartLogic Pvt Ltd,logistics,2019,2,37.07,34,3.309278104,0,0,95.34,2,0,60.2,,15.17,,,56.35,59.82,
STUP_0019,RapidLogic Labs,mobility,2015,0,1.86,34,0,0,0,42.51,6,0,38.48,39.21,28.92,,,20.79,122.37,4.34
STUP_0020,SmartNetworks Pvt Ltd,ecommerce,2014,4,2,243,9.792570645,1,0,97.34,2,0,62.59,4045.32,145.27,,,68.87,55.9,
STUP_0021,TechLab Labs,healthtech,2015,3,1.49,67,2.236016594,0,0,87.97,1,1,36.51,628.02,6.41,,,,,
STUP_0022,SmartLogic Pvt Ltd,fintech,2011,3,0.82,220,2.244890646,0,0,57.01,3,0,76.37,692.43,,,,41.55,91.64,1.65
STUP_0023,NextVision,consumer tech,2015,0,9.03,47,7.840187519,0,0,113.14,2,0,74.08,941.74,24.7,,,20.5,,4.43
STUP_0024,FutureMinds Labs,healthtech,2015,2,7.72,6,12.7220333,0,0,64.28,1,0,53.38,917.06,,,,69.62,49.77,5.17
STUP_0025,TrueVision Technologies,mobility,2018,3,8.16,45,11.64242556,0,0,24.15,6,0,61.56,746.98,5.18,,,,,2.26
STUP_0026,NextNetworks Labs,mobility,2018,2,3.57,15,8.992179205,0,0,26.83,4,0,56.82,428.85,36.69,,,70.14,,34.34
STUP_0027,GreenNetworks Innovations,AI,2022,1,17.71,111,19.24983393,0,0,11.27,4,0,35.09,514.39,22.28,,,59.1,88.8,5.5
STUP_0028,BlueVision,sustainability,2015,4,1.06,19,11.69062174,0,0,43.48,3,0,69.58,316.88,68.92,,,,,0.27
STUP_0029,SmartLab Pvt Ltd,ecommerce,2014,3,1.88,9,1.405133064,0,1,95.09,2,0,60.04,798.63,12.66,2429.58,50.26,,41.85,
STUP_0030,TechSystems,ecommerce,2023,1,3.1,14,10.28286347,0,0,14.94,4,0,57.09,,39.97,,,,12.31,14.22
STUP_0031,RapidNetworks,mobility,2014,3,24.17,52,9.46739183,0,1,19.99,4,0,54.72,168.38,,10382.58,-23.08,30.36,156.11,11.04
STUP_0032,TrueMinds Innovations,ecommerce,2017,3,22.94,13,9.160449536,0,0,29.69,3,0,52.27,882.84,13.9,,,47.09,,3.69
STUP_0033,RapidWave Technologies,deeptech,2015,2,11.65,8,6.810077765,0,0,51.15,6,0,64.9,854.53,,,,62.68,116,0.05
STUP_0034,TrueVision Ventures,fintech,2017,2,3.43,43,2.336588427,0,0,112.81,6,0,48.45,13.21,34.71,,,58.26,168.52,16.38
STUP_0035,BrightWave,fintech,2014,1,7.82,87,6.615844304,0,0,45.07,1,0,33.34,69.86,19.17,,,,20.25,
STUP_0036,RedLogic,healthtech,2018,2,0.47,51,7.920561628,0,0,12.99,4,0,60.39,,2,,,76.34,159.72,4.09
STUP_0037,GreenNetworks Pvt Ltd,mobility,2022,0,2.15,70,8.588086395,0,0,117.09,3,0,44.58,,20.34,,,47.66,,0.48
STUP_0038,FutureSystems Innovations,deeptech,2012,1,1.72,41,5.276963839,0,0,107.23,2,0,54.49,604.01,135.89,,,12.1,21.17,4.78
STUP_0039,QuantumLab Innovations,ecommerce,2020,0,4.09,61,16.25885304,1,0,18.16,6,1,69.65,8542.46,10.9,,,,,23.76
STUP_0040,InnoVision Innovations,sustainability,2017,1,10.45,71,11.15506318,0,0,46.87,2,0,80.45,,15.68,,,,243.14,1.5
STUP_0041,RapidVision Labs,fintech,2017,2,2.48,116,5.243833747,0,0,28.93,2,0,47.22,723.67,38.13,,,53.16,34.65,0.35
STUP_0042,RedWave Pvt Ltd,mobility,2015,0,2.51,45,15.50554804,0,0,67.31,4,0,23.25,50.21,23.56,,,51.92,297.11,5.52
STUP_0043,BlueVision Innovations,AI,2021,2,5.52,142,3.053173216,0,0,49.64,4,0,49.09,93.19,18.81,,,57.58,124.8,4.45
STUP_0044,RapidNetworks,agritech,2017,0,4.83,56,12.39115556,0,0,114.73,4,0,60.91,308.53,,,,,171.75,7.54
STUP_0045,InnoWorks Labs,cleantech,2013,0,3.86,25,6.034303588,0,0,83.52,1,0,37.85,279.88,17.04,,,29.15,118.29,12.45
STUP_0046,RedWave Innovations,consumer tech,2018,1,0.43,53,12.89577772,0,0,75.27,3,0,56.74,741.43,31.14,,,51.71,231.53,0.47
STUP_0047,QuantumWorks,sustainability,2020,3,5.93,35,5.902746371,0,0,58.82,4,0,32.6,75.5,,,,8.77,0.64,1.11
STUP_0048,RapidLab Pvt Ltd,ecommerce,2016,2,9.04,117,22.9142888,0,0,66.1,1,0,41.83,,,,,,,0.05
STUP_0049,BrightSystems Ventures,logistics,2023,2,16.81,137,8.450992843,0,0,55.24,6,0,58.9,68.09,26,,,,86.87,0.75
STUP_0050,QuantumLogic Innovations,fintech,2022,2,2.51,5,13.70182835,0,0,23.16,3,0,73.65,853.12,5.78,,,39.52,62.08,13.45
STUP_0051,BlueAnalytics,ecommerce,2016,2,1.46,22,11.17298134,0,1,38.12,1,0,70.08,439.54,34.33,11959.98,74.14,28.16,179.87,12.98
STUP_0052,FutureWorks Ventures,mobility,2014,3,15.99,9,0.745614996,0,0,86.8,4,0,46.27,567.09,24.43,,,47.2,,1.19
STUP_0053,BlueMinds,sustainability,2010,5,4.05,7,5.06249475,0,0,66.75,2,0,50.33,712.16,21.58,,,48.97,266.97,16.3
STUP_0054,InnoWave Labs,consumer tech,2014,3,0.62,17,14.38224265,0,0,47.2,3,1,65.74,310.63,4.51,,,27.26,34.45,5.87
STUP_0055,BrightSolutions Innovations,agritech,2011,3,9.42,41,1.190988824,0,1,77.86,4,0,38.48,901.46,31.28,18143.24,73,,145.36,
STUP_0056,RapidLab Pvt Ltd,agritech,2016,3,6.28,17,10.33848457,0,1,67.08,4,0,43.67,325.85,36.05,8268.82,142.61,,35.83,1.01
STUP_0057,RedVision Technologies,deeptech,2015,3,0.44,6,5.215916881,0,0,78.23,1,0,57.79,742.82,,,,60.17,58.36,6.89
STUP_0058,RapidLogic Pvt Ltd,ecommerce,2020,0,1.49,18,11.75693283,0,0,98.09,4,0,64.25,508.22,,,,21.85,95.75,9.95
STUP_0059,InnoSolutions Ventures,agritech,2017,3,10.71,14,10.08386407,0,0,21.59,2,0,50.84,836.65,,,,9.57,,
STUP_0060,BrightLogic Technologies,consumer tech,2018,3,0.85,14,7.854705962,0,0,86.79,2,0,21.5,226.53,14.31,,,51.01,,3.7
STUP_0061,SmartVision Innovations,healthtech,2020,2,1.33,9,5.513100293,0,0,96.92,3,0,77.19,92.95,2.44,,,78.93,143.44,10.58
STUP_0062,RapidSystems Labs,sustainability,2021,6,5.65,27,15.94125916,1,0,35.74,1,0,56.13,,,,,54.39,1.14,6.18
STUP_0063,RapidWorks,healthtech,2017,2,9.26,17,11.59519994,1,0,58.32,1,1,46.39,3874.61,,,,66.01,4.36,
STUP_0064,InnoLab Labs,fintech,2022,3,11.36,8,3.680034512,0,1,43.14,3,0,38.87,920.03,5.06,14960.67,26.84,46.98,73.82,1.88
STUP_0065,RapidAnalytics Labs,cleantech,2014,3,15.13,39,11.62561512,0,0,110.02,2,0,33.22,404.5,,,,22.37,,0.4
STUP_0066,InnoMinds,healthtech,2015,1,3.32,227,13.54873383,0,0,119.65,1,1,34.62,68.28,8.12,,,12.51,60.09,10.31
STUP_0067,BrightVision Ventures,edtech,2016,2,5.9,71,9.062857455,0,0,86.07,1,0,49.38,450.88,16.65,,,14.38,110.73,0.67
STUP_0068,RapidSystems,consumer tech,2013,1,4.75,34,7.434488585,0,0,57.99,2,0,56.39,937.61,136.18,,,,,1.24
STUP_0069,TrueAnalytics Ventures,fintech,2016,1,7.34,214,12.78488719,1,0,116.91,5,0,61.44,6947.66,,,,,180.55,2.28
STUP_0070,SmartSolutions Ventures,mobility,2023,2,6.4,42,16.08660823,0,0,95.69,3,0,46.91,150.46,15.04,,,,145.24,0.23
STUP_0071,BlueLogic Ventures,deeptech,2015,1,3.01,141,12.27140895,0,0,60.41,3,0,57.17,360.73,6.17,,,94.85,27.87,
STUP_0072,RapidLab Technologies,deeptech,2010,1,16.34,93,11.84190399,0,0,67.5,1,0,64.03,,237.05,,,,,5.1
STUP_0073,InnoWave Innovations,deeptech,2017,3,6.03,132,9.374212168,0,0,75.49,4,0,59.04,318.27,6.25,,,66.67,,17.14
STUP_0074,QuantumLab Labs,sustainability,2021,8,0.73,113,8.199129521,0,0,104.17,2,1,54.96,560.89,,,,,169.85,2.42
STUP_0075,RapidVision Innovations,edtech,2022,1,11.11,54,20.55882979,0,0,65.06,3,0,24.51,,,,,39.95,40.47,14.65
STUP_0076,TechWave Ventures,deeptech,2020,3,35.64,101,15.03486885,0,0,42.91,3,0,28.46,872.65,50.07,,,90.73,,0.02
STUP_0077,InnoSolutions,fintech,2014,2,7.15,29,10.02255608,0,1,111.6,5,0,40.45,131.61,12.58,11485.31,-15.4,,,10.17
STUP_0078,InnoSystems Pvt Ltd,sustainability,2017,2,2.21,163,2.585332853,0,0,32.49,1,0,21.01,570.49,74.24,,,75.35,,6.54
STUP_0079,RedSystems Labs,ecommerce,2019,3,2.79,130,2.706743006,0,0,20.93,1,0,63.58,969.15,22.23,,,69.97,79.39,5.5
STUP_0080,NextMinds Pvt Ltd,ecommerce,2022,1,4.96,158,10.6139869,0,0,35.36,2,0,37.37,48.06,31.49,,,19.79,,9.7
STUP_0081,TechVision Pvt Ltd,deeptech,2015,5,9.38,369,10.28588883,0,0,10.76,5,0,35.1,523.45,,,,56.43,391.76,8.75
STUP_0082,NextWave Ventures,deeptech,2021,5,4.91,54,3.171348655,0,0,30.25,3,0,44.24,647.2,,,,53.1,120,1.97
STUP_0083,GreenSolutions Pvt Ltd,agritech,2019,5,13.91,53,13.15618555,0,0,97.58,1,0,54.1,597.29,11.59,,,28.92,109.77,1.45
STUP_0084,QuantumWave Innovations,fintech,2016,4,1.25,67,15.15301219,0,1,92.74,2,0,42.1,501.9,,1647.29,31.98,39.89,128.47,4.58
STUP_0085,SmartVision Ventures,fintech,2013,1,1.12,56,0.065508737,0,0,78.26,5,0,50.74,290.08,7.96,,,,123.21,8.62
STUP_0086,TechAnalytics Technologies,edtech,2018,4,6.81,93,4.89116443,0,0,96.66,1,0,43.75,17.87,20.68,,,,3.58,
STUP_0087,TrueMinds Technologies,cleantech,2017,6,15.43,80,1.254385216,0,0,91.13,8,1,51.47,499.67,13.63,,,60.85,,
STUP_0088,BrightLogic Labs,sustainability,2014,1,13.77,18,8.271951483,0,0,29.74,4,0,62.2,301.97,16.34,,,35.55,,
STUP_0089,QuantumMinds Pvt Ltd,edtech,2020,1,2.2,44,11.42267628,0,0,112.62,1,0,42.59,188.99,,,,36.48,44.92,1.4
STUP_0090,SmartMinds,sustainability,2017,1,16.56,51,6.041528202,0,0,52.14,6,0,53.19,666,42.9,,,,122.67,11.7
STUP_0091,QuantumSystems Pvt Ltd,mobility,2018,5,17.94,32,15.24372774,0,0,81.11,3,0,44.29,,67.15,,,,,4.56
STUP_0092,FutureSystems Labs,edtech,2019,3,8.92,14,13.61853775,0,0,50.57,2,0,50.64,,101.39,,,78.79,,0.04
STUP_0093,InnoAnalytics Technologies,fintech,2017,3,3.15,23,21.34253082,0,0,111.83,5,0,51.78,967.87,43.45,,,,40.28,4.35
STUP_0094,TechVision Innovations,mobility,2013,4,1.93,61,5.268415065,0,1,116.56,2,1,72.12,644.45,28.19,6730.15,77.79,69.33,69.46,1.1
STUP_0095,InnoSystems,cleantech,2018,2,10.28,67,9.486115315,0,0,91.21,4,0,44.47,572.71,29.45,,,,57.01,2.27
STUP_0096,BlueWorks Pvt Ltd,deeptech,2020,2,11.73,93,7.249884688,0,0,105.97,4,1,51.47,,11.14,,,65.99,62.93,2
STUP_0097,FutureSolutions Labs,logistics,2021,0,6.24,37,8.621484526,0,0,53.11,3,0,72.28,,,,,34.55,83.16,9.79
STUP_0098,GreenWorks Innovations,logistics,2011,3,3.5,69,8.408999119,0,0,74.96,2,0,24.6,36.96,14.46,,,,135.42,0.96
STUP_0099,TechWave Pvt Ltd,logistics,2019,3,1.33,315,0.742606915,0,0,77.42,2,1,45.69,190.8,44.15,,,,18.31,6.27
STUP_0100,FutureLab Pvt Ltd,deeptech,2016,2,52.45,25,12.16581303,0,0,21.01,2,0,43.45,,,,,58.5,,2.55
STUP_0101,BrightSystems,AI,2015,1,7.21,272,8.04724884,0,0,108.76,4,0,55.56,665.71,,,,,98.73,
STUP_0102,RedSystems,consumer tech,2018,0,0.96,18,0.893608801,0,0,111.38,1,0,34.71,,12.9,,,50.56,14.72,1.58
STUP_0103,TrueNetworks Innovations,AI,2020,2,16.05,24,1.562682235,0,0,103.46,4,0,59.17,936.93,19.85,,,,,2.08
STUP_0104,QuantumMinds Labs,mobility,2018,1,7.26,149,0,1,0,13.91,3,0,63.84,8590.86,15.07,,,33.86,,3.61
STUP_0105,FutureSystems Innovations,fintech,2015,0,4.9,231,9.84279629,1,0,89.83,1,0,28.09,6506.05,21.55,,,45.05,45.98,2.93
STUP_0106,TechLogic,mobility,2017,1,6.93,115,5.385632422,0,0,24.46,3,0,62.63,497.8,15.16,,,42.39,,3.24
STUP_0107,QuantumSolutions Technologies,ecommerce,2020,5,1.5,36,0.299237098,0,0,30.07,1,0,32.25,592.67,16.25,,,44.82,,
STUP_0108,BlueLogic Ventures,mobility,2016,2,2.45,37,10.98428523,0,0,118.5,5,0,54.39,981.34,32.43,,,18.57,7.52,0.03
STUP_0109,RapidNetworks Technologies,fintech,2016,3,12.42,22,4.915446785,0,1,86.07,2,0,29.08,721.04,12.81,1715.43,38.95,41.42,23.77,0.08
STUP_0110,QuantumSolutions,logistics,2020,2,12.33,21,13.21524226,0,0,116.64,1,0,56.51,994.75,,,,52.06,286.47,0.82
STUP_0111,TechWorks Ventures,fintech,2019,1,19.56,44,10.71566856,0,0,54.72,5,1,43.76,409.06,102.77,,,52.24,,15.55
STUP_0112,FutureVision Pvt Ltd,fintech,2018,0,2.26,22,10.92326547,0,0,26.06,2,0,62.54,270.21,48.84,,,24.01,56.54,1.2
STUP_0113,FutureWorks Innovations,agritech,2016,5,1.49,387,11.43179589,0,0,111.01,1,1,40.93,591.82,100.59,,,78.6,41.05,5.47
STUP_0114,RedWorks Ventures,healthtech,2020,2,18.05,55,4.309667587,0,0,64.45,4,1,44.35,,,,,25.6,153.22,2.19
STUP_0115,BrightNetworks Labs,mobility,2016,1,4.22,63,11.2419895,0,0,95.81,3,0,53.01,,43.12,,,48.73,207.51,6.69
STUP_0116,RedSolutions Labs,consumer tech,2018,2,12.44,49,13.39910356,0,0,74.76,2,0,30.78,337.63,11.22,,,64.49,104.26,0.22
STUP_0117,RedMinds Ventures,edtech,2020,0,4.39,247,11.95747771,0,0,62.84,4,0,39.99,16.86,44.53,,,,30.45,4.39
STUP_0118,RedLogic Ventures,deeptech,2022,2,3.37,12,13.18791057,0,0,101.89,4,0,60.32,899.75,27.11,,,67.72,6.98,1
STUP_0119,BlueSolutions,agritech,2016,5,2.86,27,6.977923277,0,0,84.27,2,0,57.8,732,,,,,251.12,3.24
STUP_0120,FutureSystems Pvt Ltd,consumer tech,2017,1,4.19,83,15.82796523,0,0,39.6,4,1,41.02,396.63,25.81,,,100,11.87,1
STUP_0121,InnoNetworks Labs,cleantech,2017,3,4.17,65,9.721081423,0,0,39.03,3,0,37.17,55.26,,,,33.29,,9.4
STUP_0122,QuantumLab Ventures,consumer tech,2019,0,40.15,36,7.562713617,0,0,105.36,2,0,38.63,527.96,15.76,,,49.54,180.95,8.05
STUP_0123,RedLab Labs,AI,2018,3,1.12,22,16.96914525,0,1,84.61,4,0,53.31,812.21,12.23,1613.84,42.09,58.34,,
STUP_0124,InnoLogic Pvt Ltd,deeptech,2013,2,9.12,28,16.58364096,0,0,100.68,4,0,37.92,840.04,,,,,135.9,
STUP_0125,GreenNetworks Innovations,logistics,2020,3,11.18,237,14.69045809,0,0,22.71,4,0,50.21,119.7,21.94,,,60.58,88.65,12.16
STUP_0126,FutureWorks Pvt Ltd,edtech,2017,2,12.37,49,16.87885985,0,0,42.59,4,0,47.78,,4.48,,,67.65,210.83,2.87
STUP_0127,RapidSystems Pvt Ltd,fintech,2013,4,30.99,36,9.476555574,0,0,23.58,1,0,60.61,,8.91,,,16.62,,3.66
STUP_0128,NextLogic Innovations,mobility,2023,3,2.52,65,14.20894289,0,0,82.24,3,0,66.46,552.57,2.35,,,69.9,,12.64
STUP_0129,InnoWorks Innovations,healthtech,2015,4,36.12,54,18.40384228,0,0,107.58,1,0,27.68,783.1,,,,,21.57,4.34
STUP_0130,RapidWave Pvt Ltd,deeptech,2018,2,3.2,10,14.65535351,0,0,45.29,3,0,53.23,,20.57,,,32.97,46.6,0.15
STUP_0131,FutureSystems Pvt Ltd,mobility,2021,4,8.88,160,9.457175111,0,1,54.75,4,0,26.61,,9.95,825.84,7.19,87.56,,1.58
STUP_0132,TechWorks Ventures,consumer tech,2012,0,6.19,397,14.71458039,0,1,46.29,2,0,64.39,297.53,40.32,2331.88,13.75,60.41,108.57,5.1
STUP_0133,TrueLab Technologies,healthtech,2015,2,1.92,18,11.01886163,0,0,98.39,4,0,37.5,,8.87,,,,13.28,0.05
STUP_0134,RedAnalytics Innovations,deeptech,2013,2,7.49,117,12.24944661,0,1,68.06,1,0,32.84,499.35,31.81,12700.65,-11.69,,49.82,9.48
STUP_0135,RapidLab Labs,deeptech,2021,3,2.21,64,15.09883045,0,0,41,2,0,57.15,50.71,29.39,,,68.03,9.33,
STUP_0136,InnoNetworks Pvt Ltd,edtech,2021,1,12.09,30,3.726964794,0,0,59.22,3,0,44.7,444.94,18.69,,,82.03,,2.17
STUP_0137,FutureNetworks Pvt Ltd,edtech,2016,3,1.32,19,12.83932087,0,1,20.74,2,0,51.85,312.06,11.41,19890.92,35.47,94.9,39.36,
STUP_0138,QuantumNetworks,logistics,2021,4,15.07,12,15.1810007,0,0,21.98,2,0,62.5,867.19,,,,82.5,105.27,0.59
STUP_0139,RapidAnalytics Ventures,fintech,2018,3,1.36,80,10.06690235,0,0,41.26,2,0,72.53,812.37,,,,47.52,6.52,0.58
STUP_0140,NextMinds Innovations,healthtech,2019,2,1.78,350,9.807997779,0,0,49.66,2,0,49.51,281.25,20.94,,,76.46,24.8,2.8
STUP_0141,BrightWave Innovations,AI,2015,4,11.81,35,6.506978492,0,0,102.94,4,0,61.39,766.38,27.3,,,,,
STUP_0142,RapidNetworks Technologies,sustainability,2020,3,9.12,86,15.77685724,0,0,55.2,1,1,56.61,232.19,10.41,,,45.6,28.8,13.2
STUP_0143,TrueWave,agritech,2018,1,1.79,11,17.42531502,0,0,83.54,2,0,63.94,127.53,41.32,,,26.19,62.29,3.35
STUP_0144,GreenVision,consumer tech,2018,6,26.8,52,2.873790235,0,0,42.01,6,0,33.08,254,2.49,,,,,0.45
STUP_0145,BrightSolutions Ventures,mobility,2017,4,6.06,121,18.28914945,0,0,100.56,1,0,57.4,609.87,54.35,,,55.76,114.75,12.91
STUP_0146,TrueNetworks Labs,agritech,2016,0,2.17,69,16.44086755,0,0,62.27,3,0,58.02,826.39,16.98,,,62.93,20.48,9.92
STUP_0147,RedNetworks,healthtech,2015,1,6.5,34,3.700006659,0,0,63.25,4,0,33.67,951.14,87.78,,,56.57,60.06,3.29
STUP_0148,QuantumSolutions Technologies,sustainability,2018,3,11.12,101,17.62237277,0,0,61.51,4,0,65.8,911.77,,,,76.64,,1.7
STUP_0149,InnoMinds Labs,deeptech,2021,1,8.52,127,9.904355298,0,0,101.43,1,0,40.62,183.99,,,,23.25,,0.38
STUP_0150,FutureSolutions Pvt Ltd,agritech,2020,1,0.1,175,8.962817925,0,0,104.06,2,0,59.26,,16.72,,,56.53,28.24,0.74
STUP_0151,QuantumLab Pvt Ltd,consumer tech,2017,0,2.05,37,5.130342894,0,0,75.63,1,0,84.73,944.08,23.96,,,63.14,,7.54
STUP_0152,SmartNetworks Innovations,mobility,2014,3,9.99,19,6.61816281,0,1,12.05,6,1,38.69,,,459.96,24,42.21,48.21,4.27
STUP_0153,RedLogic Technologies,sustainability,2020,2,44.83,41,15.722297,0,0,28.7,3,0,54.53,,25.7,,,35.91,6.44,1.54
STUP_0154,FutureAnalytics Ventures,consumer tech,2016,0,4.43,77,7.279530765,0,0,59.5,1,0,27.37,379.87,,,,27.65,114.33,11.37
STUP_0155,InnoLogic,consumer tech,2018,2,23.97,44,4.216257569,0,0,40.74,3,1,38.88,841.83,,,,80.89,,10.93
STUP_0156,InnoLogic Technologies,deeptech,2014,4,5.18,10,7.570140348,0,0,49.79,4,0,58.83,893.31,,,,100,,4.13
STUP_0157,TechWave Innovations,healthtech,2020,2,0.49,22,9.640284023,0,0,23.74,1,0,46.99,,10.11,,,,72.69,3.7
STUP_0158,QuantumWave Ventures,fintech,2016,5,7.37,76,9.942654839,0,1,94.46,5,0,46.17,632.86,13.46,6687.85,24.86,21.27,7.01,0.21
STUP_0159,TechMinds Technologies,deeptech,2019,1,2.6,72,10.46874317,0,0,68.79,4,1,54.35,714.9,9.36,,,73.8,,4.95
STUP_0160,BlueVision Ventures,agritech,2020,1,4.11,62,8.310342736,0,0,13.28,2,0,49.34,882.69,12.29,,,,241.75,
STUP_0161,TrueSystems,cleantech,2020,2,25.79,55,5.179440278,0,0,89.39,3,1,60.19,899.63,16.29,,,57.9,55.33,9.34
STUP_0162,QuantumVision Innovations,mobility,2018,0,15.47,50,0,0,0,81.17,3,0,58.63,923.44,12.62,,,29.53,59.59,12.18
STUP_0163,GreenNetworks Ventures,logistics,2017,1,2.9,53,17.65670997,0,0,10.31,3,0,15.18,13.7,,,,15.82,31.05,0.41
STUP_0164,BrightLogic Labs,ecommerce,2014,3,3.83,116,9.538410777,0,0,53.85,2,0,48,936.5,,,,52.1,73.26,17.44
STUP_0165,RapidVision Labs,deeptech,2013,1,4.7,451,4.014137899,0,0,67.8,1,0,64.12,502.11,21.26,,,61.17,339.85,
STUP_0166,TechMinds Ventures,fintech,2015,7,23.44,96,9.931990947,0,0,46.85,1,0,60.71,919.55,26.86,,,34.21,434.69,3.88
STUP_0167,NextMinds Ventures,agritech,2014,1,23.28,119,4.378535302,0,0,14.14,3,0,68.36,246.12,20.38,,,54.69,54.53,2.83
STUP_0168,SmartAnalytics Technologies,consumer tech,2013,3,15.09,37,8.304413792,0,0,80.02,3,0,34.89,,8.27,,,50.65,68,
STUP_0169,NextNetworks Technologies,sustainability,2022,3,7.02,9,22.06753701,0,0,103.26,6,0,52.13,92.92,,,,22.49,186.68,
STUP_0170,BlueSystems,deeptech,2015,1,5.97,58,10.7737389,0,0,114.35,7,0,38.12,634.4,132.52,,,,,
STUP_0171,QuantumLab Pvt Ltd,agritech,2020,1,3.67,113,13.2010496,0,0,64.11,1,0,29.72,143.53,12.68,,,,90.01,4.2
STUP_0172,RedVision Innovations,deeptech,2018,2,10.55,50,4.202802319,0,0,18.94,2,0,49.2,547.22,,,,,10.71,3.45
STUP_0173,TechWave Ventures,healthtech,2022,2,1.65,39,14.41842588,0,0,40.03,3,0,30.81,504.23,108.76,,,34.8,9.85,
STUP_0174,RedLogic,ecommerce,2021,4,1.14,50,6.904599788,0,0,97.12,2,0,68.77,122.44,3.3,,,75.2,100.83,6.21
STUP_0175,InnoSolutions Pvt Ltd,mobility,2014,1,11.12,13,8.473715954,0,0,102.95,2,0,56.29,742.23,,,,38.14,,2.09
STUP_0176,InnoNetworks Ventures,healthtech,2020,3,5.42,18,10.31731967,0,0,51.48,2,0,58.39,678.49,17.31,,,,,1.93
STUP_0177,FutureVision Technologies,deeptech,2022,0,2.16,31,8.953436339,0,0,52.87,3,0,21.19,799.06,,,,52.28,54.89,0.23
STUP_0178,NextMinds Ventures,logistics,2015,1,1.65,102,8.645194293,0,0,25.98,3,0,58.14,263.08,163.96,,,75.61,147.22,9.24
STUP_0179,BrightNetworks,deeptech,2020,1,6.69,57,8.303022858,0,0,11.61,3,0,44.92,281.74,47.41,,,77.41,,6
STUP_0180,RapidSolutions Innovations,deeptech,2018,2,2.98,76,9.443076612,0,0,85.64,1,1,44.67,532.59,,,,69.86,,0.08
STUP_0181,TrueWave Innovations,cleantech,2016,0,4.49,60,3.893382535,0,0,65.51,4,0,65.04,880.04,,,,64.09,149.28,
STUP_0182,BlueWorks Innovations,sustainability,2015,4,13.73,55,9.588527209,0,0,36.71,4,0,31.32,351.22,6.74,,,54.17,108.67,8.7
STUP_0183,FutureSystems Pvt Ltd,healthtech,2020,4,18.3,406,19.07625254,0,0,116.16,1,0,63.8,205.21,,,,,89.38,18.56
STUP_0184,GreenWave Pvt Ltd,edtech,2014,0,5.41,90,0,1,0,65.11,3,0,41.62,5318.6,5.69,,,100,,13.62
